ItemID_DE,EAN
12343,7891590167333
12344,4283230507723
12345,4283230507822
12346,7895113995663
12347,7890041425893
12348,4283230508126
12349,4283230508225
12350,4283230508324
12351,7892181020655
12352,7897536102390
12353,4283230508720
12354,4283230508829
12355,7890866608341
12356,4283230509024
12357,7899054923068
12358,7897059090303
12359,7890770297457
12360,4283230509420
12361,7891456411198
12362,7895359608167
12363,4251910703765
12364,7897843782117
12365,7899271377675
12366,4283230509925
12367,7897406887754
12368,7892448106108
12369,7898223211852
12370,7894095763116
12371,7896976951520
12372,7896002694995
12373,7891952147119
12374,7894797538067
12375,7899604370700
12376,7893766121125
12377,7895263081438
12378,7892633925002
12379,7894476672549
12380,7891472111218
12381,7899431335934
12382,7897611242263
12383,7899121859863
12384,7892619242215
12385,7896422173551
