ItemID_DE,EAN
6839,0661632105343
6831,0661632105350
6832,0661632105367
6838,0661632105374
6830,0661632105381
6829,0661632105398
6824,0661632105404
6826,0661632105411
6827,0661632105428
6837,0661632105435
6825,0661632105442
6828,0661632105459
6836,0661632105466
6841,0661632105473
6842,0661632105480
6840,0661632105497
6834,0661632105503
6833,0661632105510
6810,0661632105527
6835,0661632105534
6802,0661632105541
6807,0661632105572
6808,0661632105589
6806,0661632105596
6805,0661632105602
6803,0661632105626
6821,0661632105633
6822,0661632105640
6818,0661632105657
6820,0661632105664
6817,0661632105671
6801,0661632105695
6798,0661632105701
6815,0661632105718
6816,0661632105725
6812,0661632105732
6814,0661632105749
6811,0661632105756
6813,0661632105763
6800,0661632105770
6799,0661632105787
6804,0661632105800
6819,0661632105817
6809,0661632105831
1992,4283230000125
4355,4283230000422
6608,4283230000521
6610,4283230000729
6208,4283230000828
7056,4283230000927
4494,4283230001023
734,4283230001122
4357,4283230001429
2614,4283230001528
6399,4283230001726
4721,4283230001924
7058,4283230002020
4719,4283230002129
1961,4283230002228
1964,4283230002525
5740,4283230002624
2126,4283230002723
4061,4283230002822
4064,4283230003027
4065,4283230003126
2347,4283230003225
4420,4283230003324
4418,4283230003423
4415,4283230003522
6499,4283230003720
4062,4283230003829
4060,4283230003928
4063,4283230004024
4419,4283230004123
4417,4283230004222
5719,4283230004420
4484,4283230004529
410,4283230004628
411,4283230004727
3674,4283230004826
624,4283230004925
627,4283230005120
5733,4283230005229
491,4283230005328
5023,4283230005427
6861,4283230006028
6862,4283230006226
6864,4283230006424
6865,4283230006523
6866,4283230006622
6867,4283230006721
6868,4283230006820
6869,4283230006929
6870,4283230007025
6871,4283230007124
6872,4283230007223
6873,4283230007322
6874,4283230007520
6875,4283230007629
6876,4283230007728
6877,4283230007827
6878,4283230007926
6879,4283230008022
6880,4283230008121
6885,4283230008428
6886,4283230008527
6887,4283230008626
6888,4283230008725
6889,4283230008824
6891,4283230009128
6893,4283230009326
6899,4283230010322
6900,4283230010421
6901,4283230010520
6902,4283230010629
6903,4283230010728
6904,4283230010827
5583,4283230011022
6225,4283230011121
494,4283230011220
6236,4283230011428
3959,4283230011527
5509,4283230011626
4218,4283230011725
5687,4283230011824
3846,4283230011923
6227,4283230012227
3791,4283230012326
6234,4283230012524
6450,4283230012623
6453,4283230012920
5735,4283230013026
6215,4283230013224
5414,4283230013323
5556,4283230013422
1994,4283230013521
4481,4283230013620
2036,4283230013729
2980,4283230013828
5413,4283230013927
6451,4283230014221
2979,4283230014320
6224,4283230014429
2575,4283230014528
5412,4283230014627
5535,4283230014726
6402,4283230014825
6459,4283230014924
380,4283230015020
2560,4283230015129
5888,4283230015228
6444,4283230015426
6454,4283230015525
5518,4283230015723
6235,4283230015822
3974,4283230015921
5553,4283230016027
6294,4283230016225
6620,4283230016324
3861,4283230016423
5877,4283230016829
5035,4283230016928
5944,4283230017024
5555,4283230017222
3727,4283230017321
4180,4283230017420
4144,4283230017529
5878,4283230017727
6461,4283230017925
5411,4283230018021
3852,4283230018120
5962,4283230018229
6223,4283230018328
5541,4283230018427
5586,4283230018526
493,4283230018625
6233,4283230018724
2515,4283230018823
5671,4283230018922
4627,4283230019226
5670,4283230019325
2573,4283230019424
6214,4283230019523
5521,4283230019622
6229,4283230019721
268,4283230019820
5221,4283230019929
6442,4283230020222
5945,4283230020321
5573,4283230020420
5224,4283230020529
5883,4283230020628
216,4283230020826
205,4283230020925
5688,4283230021229
3843,4283230021328
6202,4283230021526
6213,4283230021625
6558,4283230021724
7057,4283230021823
5886,4283230021922
6395,4283230022028
6463,4283230022127
2977,4283230022325
6556,4283230022424
5685,4283230022523
6462,4283230022721
207,4283230022929
6220,4283230023025
6432,4283230023124
3788,4283230023322
6441,4283230023728
6232,4283230023827
381,4283230024022
6222,4283230024121
6445,4283230024329
657,4283230024527
5745,4283230025326
5225,4283230025425
6555,4283230025623
2564,4283230025722
6557,4283230025821
5885,4283230025920
5550,4283230026026
6464,4283230026125
5775,4283230026224
6226,4283230026323
5572,4283230026422
5588,4283230026729
3875,4283230026927
4143,4283230027122
6423,4283230027221
5879,4283230027320
5921,4283230027429
6371,4283230027627
5398,4283230027726
4847,4283230027825
6425,4283230027924
5218,4283230028020
6421,4283230028129
3705,4283230028228
6218,4283230028327
5548,4283230028426
6430,4283230028525
5227,4283230028723
6221,4283230028921
663,4283230029027
6559,4283230029126
6212,4283230029225
6228,4283230029324
6245,4283230029522
384,4283230029621
5570,4283230029720
6203,4283230029829
6231,4283230030023
6456,4283230030320
5887,4283230030429
6431,4283230030528
6466,4283230030627
5566,4283230030924
5242,4283230031020
6447,4283230031129
5587,4283230031228
6446,4283230031327
830,4283230031426
6086,4283230031525
5884,4283230031723
6219,4283230031822
5882,4283230031921
5967,4283230032027
5933,4283230032126
3784,4283230032225
6467,4283230032324
6211,4283230032423
739,4283230032522
6429,4283230032621
6428,4283230032829
6418,4283230032928
5581,4283230033024
6420,4283230033222
722,4283230033321
5542,4283230033420
5776,4283230033529
3858,4283230033628
6204,4283230033727
5920,4283230033826
5881,4283230033925
6465,4283230034021
3898,4283230034120
5569,4283230034229
6230,4283230034328
6209,4283230034427
6422,4283230034526
5875,4283230034724
5540,4283230034922
6393,4283230035028
5220,4283230035127
6373,4283230035325
5567,4283230035424
6460,4283230035523
6621,4283230035622
6449,4283230035721
5546,4283230035820
6246,4283230036025
6448,4283230036124
5773,4283230036322
2566,4283230036421
6247,4283230036520
4628,4283230036629
6370,4283230036728
6217,4283230036827
6206,4283230036926
5686,4283230037121
6085,4283230037220
6412,4283230037329
6468,4283230037428
3793,4283230037527
6216,4283230037626
5584,4283230037824
6560,4283230038029
6609,4283230038128
379,4283230038326
5568,4283230038425
6426,4283230038524
4944,4283230038722
5580,4283230038821
6244,4283230038920
6207,4283230039026
6377,4283230039125
5876,4283230039323
6419,4283230039422
5880,4283230039521
4175,4283230039828
6248,4283230039927
5219,4283230040022
5416,4283230040121
6396,4283230040220
3797,4283230040329
5545,4283230040527
6401,4283230040626
201,4283230040725
5549,4283230041029
5226,4283230041128
4106,4283230041227
5995,4283230041425
4512,4283230041623
7009,4283230041722
4514,4283230041821
6088,4283230041920
6934,4283230042026
7007,4283230042224
5992,4283230042323
3754,4283230042521
7008,4283230042620
7073,4283230042729
6935,4283230042828
6616,4283230042927
4098,4283230043023
4104,4283230043122
6938,4283230043429
6615,4283230043528
7074,4283230043726
6624,4283230043825
5533,4283230043924
4102,4283230044020
4511,4283230044129
6614,4283230044228
4756,4283230044327
6057,4283230044426
6089,4283230044525
4513,4283230044624
7075,4283230044723
4742,4283230044822
7083,4283230045027
6611,4283230045126
7076,4283230045225
7084,4283230045324
5993,4283230045423
4797,4283230045522
6613,4283230045621
7085,4283230045720
5994,4283230045829
5991,4283230045928
6072,4283230046024
7091,4283230046123
7092,4283230046222
5195,4283230046321
7094,4283230046420
7093,4283230046529
5756,4283230047229
5781,4283230047328
5922,4283230047526
6628,4283230047724
6059,4283230047823
6561,4283230048424
6647,4283230048523
6626,4283230048721
6013,4283230049025
5934,4283230049322
6645,4283230049421
5679,4283230049926
6014,4283230050021
5678,4283230050120
716,4283230050427
629,4283230050625
5953,4283230050724
740,4283230050823
5755,4283230050922
5780,4283230051028
3115,4283230051127
5763,4283230051226
5760,4283230051325
5803,4283230051622
5761,4283230051721
4409,4283230051929
6625,4283230052124
5779,4283230052223
6644,4283230052322
6627,4283230052520
5009,4283230052629
5762,4283230052728
4743,4283230052827
5764,4283230052926
4709,4283230053022
5778,4283230053121
4630,4283230053220
2353,4283230053329
3642,4283230053428
2365,4283230053527
2358,4283230053626
116,4283230053725
164,4283230053824
4714,4283230053923
7022,4283230054029
2362,4283230054128
156,4283230054227
2433,4283230054326
204,4283230054425
2346,4283230054524
117,4283230054623
211,4283230054722
4262,4283230054821
5828,4283230054920
2367,4283230055026
157,4283230055125
2352,4283230055224
4740,4283230055323
2361,4283230055422
118,4283230055521
212,4283230055620
163,4283230055729
4279,4283230056122
3139,4283230056221
159,4283230056320
2363,4283230056429
2359,4283230056528
2344,4283230056627
119,4283230056726
2124,4283230056825
2183,4283230056924
208,4283230057020
2350,4283230057129
3634,4283230057228
172,4283230057426
2348,4283230057525
2366,4283230057624
120,4283230057723
2620,4283230057822
2355,4283230057921
383,4283230058027
171,4283230058126
2351,4283230058225
155,4283230058324
2364,4283230058423
2360,4283230058522
2369,4283230058720
121,4283230058829
2621,4283230058928
2040,4283230059024
2609,4283230059123
6932,4283230059222
11157,4283230059222
158,4283230059321
2368,4283230059420
3643,4283230059529
269,4283230059628
2622,4283230059727
3170,4283230060228
5683,4283230060327
4715,4283230060426
4408,4283230060624
4739,4283230060723
4751,4283230060822
3469,4283230060921
174,4283230061027
170,4283230061324
735,4283230061423
382,4283230061522
4499,4283230061928
3168,4283230062024
4753,4283230062123
3138,4283230062222
4500,4283230062321
3169,4283230062420
4501,4283230062529
167,4283230062628
6788,4283230062727
726,4283230062925
5682,4283230063021
370,4283230063120
3468,4283230063328
3604,4283230063427
6789,4283230063526
718,4283230063625
737,4283230063724
344,4283230063823
4737,4283230064028
738,4283230064127
6792,4283230064226
3595,4283230064325
342,4283230064424
2172,4283230064523
3167,4283230064622
2052,4283230064721
6795,4283230064820
3475,4283230064929
2160,4283230065025
165,4283230065124
348,4283230065322
6790,4283230065728
6791,4283230065827
6794,4283230066022
6793,4283230066824
6316,4283230068521
32,4283230068620
