23,Y,0,1,0
32,Y,4800,6,6900
87,Y,6,6,15
88,Y,4,6,5
89,Y,8,6,9
90,Y,7,6,7
91,Y,9,6,12
93,Y,10,6,15
94,Y,18,6,16
95,Y,48,6,58
96,Y,4,6,8
97,Y,12,6,17
99,Y,61,3,84
100,Y,57,3,68
101,Y,90,3,81
102,Y,12,3,16
103,Y,83,6,83
105,Y,32,3,31
106,Y,14,3,17
107,Y,74,3,113
108,Y,18,3,26
109,Y,38,6,38
111,Y,65,6,79
112,Y,34,6,47
113,Y,16,6,19
114,Y,0,3,9
116,Y,10,3,19
117,Y,39,3,49
118,Y,28,3,43
119,Y,34,6,67
120,Y,7,6,13
121,Y,11,6,27
123,Y,0,3,24
124,Y,8,6,9
125,Y,10,6,80
126,Y,17,6,21
127,Y,4,6,13
128,Y,4,6,11
130,Y,7,6,11
131,Y,18,6,21
132,Y,0,6,36
133,Y,13,6,18
134,Y,5,6,9
135,Y,0,6,24
138,Y,126,6,135
139,Y,65,6,114
140,Y,25,6,95
141,Y,134,6,216
142,Y,97,6,109
143,Y,178,6,270
144,Y,47,6,75
145,Y,18,6,79
146,Y,9,6,18
147,Y,9,6,49
149,Y,130,6,158
150,Y,64,3,99
151,Y,45,3,51
152,Y,23,3,32
153,Y,10,3,65
154,Y,34,6,25
155,Y,122,3,149
156,Y,79,3,85
157,Y,37,3,23
158,Y,13,3,14
159,Y,4,3,12
160,Y,22,6,21
162,Y,35,3,69
163,Y,56,3,67
164,Y,52,3,55
165,Y,9,3,34
166,Y,146,3,186
167,Y,57,3,74
168,Y,50,3,79
169,Y,21,3,25
170,Y,87,3,124
171,Y,39,3,47
172,Y,14,3,40
173,Y,35,3,49
174,Y,38,3,42
175,Y,42,3,51
187,Y,0,1,0
193,Y,0,3,0
196,Y,50,6,55
198,Y,38,6,49
200,Y,0,5,106
201,Y,43,5,45
202,Y,7,5,52
203,Y,31,5,38
204,Y,54,5,63
205,Y,9,5,16
206,Y,34,5,45
207,Y,14,5,15
208,Y,0,5,17
210,Y,112,3,189
211,Y,108,3,147
212,Y,106,3,334
215,Y,35,3,38
216,Y,78,3,109
226,Y,0,1,86
228,Y,0,1,9
231,N,0,6,0
234,Y,0,6,95
235,Y,0,6,147
237,Y,0,3,26
238,Y,0,5,8
240,Y,0,1,18
241,Y,23,6,96
268,Y,66,3,105
269,Y,116,3,124
270,N,0,3,0
338,Y,24,5,53
339,Y,9,3,32
340,Y,32,3,50
341,Y,13,3,18
342,Y,4,3,27
343,Y,7,3,0
344,Y,7,3,11
345,Y,48,3,62
346,Y,7,3,13
347,Y,0,3,38
348,Y,20,3,24
349,Y,8,3,16
350,Y,83,3,124
351,Y,25,3,119
353,Y,14,3,21
354,Y,22,3,41
356,Y,50,6,49
357,Y,23,1,19
359,Y,32,6,41
360,Y,64,1,58
361,Y,42,1,46
363,Y,42,6,43
364,Y,36,6,35
365,Y,138,6,166
366,Y,122,6,147
367,Y,104,6,133
369,Y,10,6,18
370,Y,10,6,14
371,Y,6,6,15
372,Y,12,6,22
373,Y,9,6,15
374,Y,20,6,24
375,Y,10,6,14
376,Y,0,6,3
377,Y,10,6,11
378,Y,18,5,13
379,Y,0,5,34
380,Y,14,5,5
381,Y,6,5,39
382,Y,70,5,99
383,Y,0,5,0
384,Y,13,5,39
385,Y,0,5,0
386,Y,0,5,53
387,Y,0,5,29
388,Y,5,5,50
389,Y,0,5,11
390,Y,14,3,19
391,Y,26,3,29
392,Y,10,3,12
393,Y,8,3,25
394,Y,16,3,27
395,Y,0,3,94
396,Y,8,3,10
397,Y,28,3,29
398,Y,7,3,8
