ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
11411;6,23762E+12;6237621108295;V002-TMT;Zahnriemen 2GT-6-56;;1,83;Y;10;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11410;6,23453E+12;6234526574170;V002-TMT;Zahnriemen 2GT-6-52;;1,88;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11409;6,23999E+12;6239986529760;V002-TMT;Zahnriemen 2GT-6-50;;1,83;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11408;6,23734E+12;6237337863303;V002-TMT;Zahnriemen 2GT-6-384;;2,76;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11407;6,23564E+12;6235639042532;V002-TMT;Zahnriemen 2GT-10-380;;3,95;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
11406;6,2326E+12;6232597827010;V002-TMT;Zahnriemen 2GT-15-376;;5,96;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11405;6,23639E+12;6236388937155;V002-TMT;Zahnriemen 2GT-10-376;;3,95;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
11404;6,23154E+12;6231537277687;V002-TMT;Zahnriemen 2GT-6-372;;2,81;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11403;6,23396E+12;6233964542574;V002-TMT;Zahnriemen 2GT-10-370;;3,95;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
11402;6,23733E+12;6237334790930;V002-TMT;Zahnriemen 2GT-6-370;;2,76;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
